race_id,cycle,state,poll_margin,actual_margin,poll_error,receipts_edge,individual_edge,dem_incumbent,rep_incumbent
1494,2012,OH,4.845652173913043,6.000677553276567,1.155025379363524,0.10208321920753907,0.18582087065958638,1,0
1495,2012,PA,5.264285714285714,9.102427363720011,3.838141649434297,-1.219548275970479,0.5470213539420606,1,0
1496,2012,RI,21.05,29.845835256307552,8.795835256307551,0.6492241317857356,0.2472617014616879,1,0
1498,2012,TX,-17.0,-15.83265330099016,1.1673466990098404,-3.0944409926482517,-3.0255576094244887,0,0
15,2014,KY,-4.621428571428571,-15.467229578206343,-10.845801006777773,-0.10738299742429619,0.35949898496972565,0,1
1501,2012,VA,2.165277777777778,5.905140082205122,3.7398623044273442,0.22897802563170275,0.3596309672752562,1,0
1502,2012,WA,19.964285714285715,20.901982363426015,0.9376966491402996,2.206448094837018,2.158424550014219,1,0
1504,2012,WI,2.022222222222222,5.548527602245095,3.5263053800228725,0.42798296527871543,0.6230846148427079,1,0
1507,2010,AK,-7.9,-12.05230466961249,-4.152304669612489,-0.9280307048736127,-0.9361916510847665,0,0
1508,2010,AZ,-23.25,-24.208830752877994,-0.9588307528779936,-2.5723686738780582,-1.948579453940562,0,1
1509,2010,AR,-16.575,-20.957822033778783,-4.382822033778783,1.0720613397915073,0.9125877202570039,1,0
1510,2010,CA,4.623529411764706,10.010589830562715,5.387060418798009,-0.5571844804654877,-0.16477738338468806,1,0
1511,2010,CO,-2.238095238095238,1.628348923367902,3.86644416146314,0.9616695490966286,0.8482226350437962,1,0
1512,2010,CT,9.845,9.267332399630568,-0.5776676003694323,-1.7500992178567025,3.8003471569134084,0,0
1513,2010,DE,16.275,16.57731569736046,0.3023156973604628,-0.5658719281528212,-0.9796025885448677,0,0
1514,2010,FL,-24.125,-28.696665709376234,-4.571665709376234,-0.8140907391344455,-0.9316423901092592,0,0
1515,2010,GA,-22.97142857142857,-19.30873516490312,3.6626934065254524,-2.960584026705517,-2.559190112714669,0,1
1516,2010,HI,27.033333333333335,53.23746637055666,26.204133037223325,2.5799481807995654,2.918810320388728,1,0
1518,2010,IL,-0.7739130434782607,-1.59860795314205,-0.8246949096637893,-0.37041692753910493,-0.3185174200791581,0,0
1520,2010,IN,-19.0,-14.57975180010559,4.420248199894409,-0.7377529062176149,-0.91503571313289,0,0
1521,2010,IA,-26.666666666666668,-31.049232883806745,-4.382566217140077,-0.603352449612249,-0.346499534001349,0,1
1523,2010,KY,-7.093333333333333,-11.47809594600971,-4.384762612676377,-0.2489280938830953,-0.36068005320036123,0,0
1525,2010,MD,26.2,26.439615281008678,0.23961528100867824,1.1729223935763138,2.2408685314328363,1,0
1526,2010,MA,-1.6692307692307689,-4.764177286331858,-3.0949465171010893,-0.6315115884362581,-0.12373471444883874,0,1
1527,2010,MO,-8.563636363636363,-13.602764341151484,-5.039127977515122,-0.14835727893532963,0.16186432381756685,0,0
1528,2010,NV,-1.573684210526316,5.742136167806116,7.3158203783324325,-0.3771343300222678,-0.6984312549729353,1,0
1529,2010,NH,-14.077777777777778,-23.239647247696325,-9.161869469918548,-0.08719207196539762,0.08910831952272211,0,0
1530,2010,NY,28.19047619047619,37.95787862001272,9.767402429536531,4.397929145242032,4.743554368093099,1,0
1531,2010,NY,18.33,31.515154062890492,13.185154062890494,1.4193224053617204,2.3566817552001003,1,0
1532,2010,NC,-12.285714285714286,-11.765515234697915,0.5201990510163714,-1.0606542195675983,-0.691766816792982,0,1
1534,2010,OH,-15.527586206896553,-17.442409080972503,-1.9148228740759503,-0.7212787219158513,-0.5111127581379202,0,1
1536,2010,OR,17.283333333333335,17.975194580850527,0.6918612475171919,0.8825291856812225,1.3265230200270597,1,0
1537,2010,PA,-4.787096774193548,-2.0169893814480346,2.7701073927455138,-0.2117600769498204,-0.582137950695976,0,0
1540,2010,UT,-24.5,-28.821318114245685,-4.321318114245685,-1.7972886186365011,-1.7648149725946105,0,1
1542,2010,WA,1.9476190476190476,4.729651697626608,2.78203265000756,0.27733967640155655,0.06670636028736142,1,0
1544,2010,WI,-6.347619047619048,-4.837631848852155,1.5099871987668934,-0.10613485289895765,0.8068696957065029,1,0
16,2014,VA,9.666666666666666,0.8115000734730984,-8.855166593193568,0.5015433487335101,0.4557329897365711,1,0
17,2014,GA,-1.6776666666666664,-7.682709551543056,-6.0050428848763895,0.12041779177874569,0.5042117839159634,0,0
19,2014,TX,-22.25,-27.19549569977184,-4.94549569977184,-0.10436336294475813,-5.12860423763449,0,1
2,2014,MI,10.141666666666667,13.285311446611558,3.143644779944891,-0.20763237307723204,-0.02953445343245039,0,0
20,2014,OR,18.142857142857142,18.861973511546793,0.7191163686896509,0.9034322481462466,1.0126673550798007,1,0
22,2014,SD,-12.9,-20.85987717062975,-7.959877170629751,-0.7198458535057635,-0.5525745069551025,0,0
23,2014,CO,-2.167741935483871,-1.9444817344730012,0.22326020101086996,0.3474969818933041,0.43006909925280185,1,0
26,2014,IA,-2.018421052631579,-8.338939541471184,-6.320518488839605,0.005947344584489368,-0.03318877072256962,0,0
27,2014,ID,-28.666666666666668,-30.656723928906366,-1.9900572622396986,-1.7906336591261671,-1.2659301425750058,0,1
28,2014,TN,-18.5,-30.001419146838035,-11.501419146838035,-1.2731091561556886,-2.9979265866673677,0,1
29,2014,OK,-37.63333333333333,-39.459726853922035,-1.8263935205887023,-1.9786689959942942,-1.5219001112927346,0,1
3,2014,NM,12.833333333333334,11.11762035747401,-1.715712975859324,0.6688932693840752,1.2387487549064848,1,0
30,2014,WV,-18.666666666666668,-27.653304356067707,-8.98663768940104,-0.7597234881616445,-0.5573586249581248,0,0
31,2014,MA,20.64,23.884925073334337,3.244925073334336,4.747326568953562,4.598070323124251,1,0
32,2014,AR,-4.113333333333333,-17.067155945982613,-12.95382261264928,-0.18028336990048446,-0.30855781750338124,1,0
33,2014,RI,40.666666666666664,41.335382362779185,0.6687156961125211,4.075794474102933,4.136027165355482,1,0
34,2014,HI,45.75,42.066686641754345,-3.6833133582456554,2.9725456442885694,3.005529740112139,1,0
35,2014,OK,-35.43333333333333,-38.869885124681744,-3.436551791348414,-3.359293870628518,-3.1702475793449993,0,1
36,2014,SC,-24.9,-22.136971435472162,2.7630285645278363,-4.440319303943073,-4.268462563978576,0,1
4,2014,IL,12.431111111111111,10.853696067649423,-1.5774150434616878,1.176385052733751,2.06349376121909,1,0
5,2014,MT,-16.42,-17.717791610108534,-1.2977916101085327,-2.039445074479718,-1.6465357791409052,0,0
